HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD50281,2452986.76586,7.58,1.54,HARPS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,2003-12-13T06:13:07
HD50281,2452998.76264,2.09,1.09,HARPS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,2003-12-25T06:02:26
HD50281,2453343.75258,7.05,1.63,HARPS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,2004-12-04T05:53:35
HD50281,2453809.58224,-1.72,0.88,HARPS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,2006-03-15T01:47:25
HD50281,2454568.48055,-0.65,0.86,HARPS-Pre,1.8541,0.027,-1.0000,-1.0000,2008-04-11T23:24:38
HD50281,2455321.46034,-1.28,1.05,HARPS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,2010-05-04T22:58:03
HD50281,2455926.67009,1.80,0.92,HARPS-Pre,2.4122,0.11,-1.0000,-1.0000,2011-12-31T03:48:59
HD50281,2455943.79458,1.06,1.10,HARPS-Pre,1.7752,0.064,-1.0000,-1.0000,2012-01-17T06:48:49
HD50281,2455946.79350,4.87,1.12,HARPS-Pre,1.8563,0.079,-1.0000,-1.0000,2012-01-20T06:47:11
HD50281,2456355.58667,-2.75,0.92,HARPS-Pre,1.6523,0.04,-1.0000,-1.0000,2013-03-04T01:52:24
HD50281,2456357.61294,-1.81,0.80,HARPS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,2013-03-06T02:30:36
HD50281,2456362.54802,-2.98,0.85,HARPS-Pre,1.8592,0.047,-1.0000,-1.0000,2013-03-11T00:57:41
