HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD23249,2454015.22473,2.06,1.16,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru83.1629
HD23249,2454015.22811,5.08,1.18,UCLES,-1.0000,-1.0000,0.7211,0.00096,ru83.1630
HD23249,2454015.23123,3.15,1.24,UCLES,-1.0000,-1.0000,0.7187,0.0016,ru83.1631
HD23249,2454112.03587,3.18,1.07,UCLES,-1.0000,-1.0000,0.7190,0.002,ru86.600
HD23249,2454112.03720,0.12,1.09,UCLES,-1.0000,-1.0000,0.7202,0.002,ru86.601
HD23249,2454112.03881,1.55,0.94,UCLES,-1.0000,-1.0000,0.7214,0.0013,ru86.602
HD23249,2454112.04070,2.71,0.95,UCLES,-1.0000,-1.0000,0.7212,0.0013,ru86.603
HD23249,2454112.04260,3.52,0.89,UCLES,-1.0000,-1.0000,0.7216,0.0013,ru86.604
HD23249,2454112.04450,1.45,0.97,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru86.605
HD23249,2454113.05244,0.96,1.08,UCLES,-1.0000,-1.0000,0.7228,0.0017,ru86.1001
HD23249,2454113.05435,1.93,1.01,UCLES,-1.0000,-1.0000,0.7231,0.0017,ru86.1002
HD23249,2454113.05626,1.76,1.00,UCLES,-1.0000,-1.0000,0.7223,0.0015,ru86.1003
HD23249,2454113.05816,-0.75,1.03,UCLES,-1.0000,-1.0000,0.7225,0.0016,ru86.1004
HD23249,2454113.06006,-6.45,1.06,UCLES,-1.0000,-1.0000,0.7235,0.0016,ru86.1005
HD23249,2454114.03664,1.01,1.13,UCLES,-1.0000,-1.0000,0.7204,0.0015,ru86.1389
HD23249,2454114.04151,-3.73,1.26,UCLES,-1.0000,-1.0000,0.7195,0.0017,ru86.1390
HD23249,2454114.04573,-2.86,1.19,UCLES,-1.0000,-1.0000,0.7196,0.0017,ru86.1391
HD23249,2454114.04995,-0.72,1.11,UCLES,-1.0000,-1.0000,0.7186,0.0017,ru86.1392
HD23249,2454115.03721,1.77,0.88,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru86.1714
HD23249,2454115.03899,-0.34,0.91,UCLES,-1.0000,-1.0000,0.7207,0.0014,ru86.1715
HD23249,2454115.04077,0.18,0.90,UCLES,-1.0000,-1.0000,0.7199,0.0014,ru86.1716
HD23249,2454119.94653,-0.18,1.06,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru86.3098
HD23249,2454119.94762,1.46,1.19,UCLES,-1.0000,-1.0000,0.7160,0.002,ru86.3099
HD23249,2454119.94871,-1.64,1.20,UCLES,-1.0000,-1.0000,0.7152,0.0021,ru86.3100
HD23249,2454119.94981,2.92,1.22,UCLES,-1.0000,-1.0000,0.7169,0.0022,ru86.3101
HD23249,2454119.95091,-1.24,1.11,UCLES,-1.0000,-1.0000,0.7165,0.002,ru86.3102
HD23249,2454119.95200,-0.62,1.06,UCLES,-1.0000,-1.0000,0.7143,0.0021,ru86.3103
HD23249,2454119.95309,-0.77,1.10,UCLES,-1.0000,-1.0000,0.7164,0.002,ru86.3104
HD23249,2454119.95418,1.31,1.19,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru86.3105
HD23249,2454119.95528,-5.51,1.03,UCLES,-1.0000,-1.0000,0.7153,0.0021,ru86.3106
HD23249,2454119.95637,-5.68,1.16,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru86.3107
HD23249,2454121.05495,0.33,1.11,UCLES,-1.0000,-1.0000,0.7167,0.0021,ru86.3456
HD23249,2454121.05615,-2.41,0.98,UCLES,-1.0000,-1.0000,0.7184,0.0019,ru86.3457
HD23249,2454121.05737,0.87,0.89,UCLES,-1.0000,-1.0000,0.7171,0.0018,ru86.3458
HD23249,2454121.05856,-0.91,0.96,UCLES,-1.0000,-1.0000,0.7185,0.0019,ru86.3459
HD23249,2454121.05976,-2.45,0.99,UCLES,-1.0000,-1.0000,0.7172,0.002,ru86.3460
HD23249,2454121.06098,-0.73,1.07,UCLES,-1.0000,-1.0000,0.7179,0.0021,ru86.3461
HD23249,2454121.06218,-0.13,1.14,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru86.3462
HD23249,2454121.06340,-1.81,1.07,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru86.3463
HD23249,2454121.06459,-3.81,1.00,UCLES,-1.0000,-1.0000,0.7169,0.002,ru86.3464
HD23249,2454121.06581,-0.15,1.06,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru86.3465
HD23249,2454122.99305,-3.77,4.33,UCLES,-1.0000,-1.0000,0.7109,0.0071,ru86.3805
HD23249,2454122.99437,-0.90,1.16,UCLES,-1.0000,-1.0000,0.7214,0.0022,ru86.3806
HD23249,2454122.99592,0.73,0.77,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru86.3807
HD23249,2454122.99747,0.29,0.89,UCLES,-1.0000,-1.0000,0.7218,0.0015,ru86.3808
HD23249,2454122.99904,3.32,0.88,UCLES,-1.0000,-1.0000,0.7231,0.0016,ru86.3809
HD23249,2454123.00059,0.77,0.90,UCLES,-1.0000,-1.0000,0.7215,0.0015,ru86.3810
HD23249,2454123.00214,2.12,0.87,UCLES,-1.0000,-1.0000,0.7229,0.0015,ru86.3811
HD23249,2454123.00369,0.86,0.94,UCLES,-1.0000,-1.0000,0.7221,0.0015,ru86.3812
HD23249,2454123.00525,2.53,0.91,UCLES,-1.0000,-1.0000,0.7227,0.0016,ru86.3813
HD23249,2454126.01500,-3.13,1.08,UCLES,-1.0000,-1.0000,0.7149,0.0022,ru86.4520
HD23249,2454126.01614,-2.74,1.07,UCLES,-1.0000,-1.0000,0.7158,0.0021,ru86.4521
HD23249,2454126.01730,-1.44,1.09,UCLES,-1.0000,-1.0000,0.7165,0.0021,ru86.4522
HD23249,2454126.01845,-0.53,0.96,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru86.4523
HD23249,2454126.01959,-0.73,0.97,UCLES,-1.0000,-1.0000,0.7151,0.0019,ru86.4524
HD23249,2454126.02074,-0.67,1.07,UCLES,-1.0000,-1.0000,0.7161,0.0021,ru86.4525
HD23249,2454126.02189,-1.85,0.98,UCLES,-1.0000,-1.0000,0.7155,0.0019,ru86.4526
HD23249,2454126.02304,-2.28,1.16,UCLES,-1.0000,-1.0000,0.7164,0.0021,ru86.4527
HD23249,2454126.02417,-3.12,1.02,UCLES,-1.0000,-1.0000,0.7161,0.0021,ru86.4528
HD23249,2454126.02533,-7.15,0.94,UCLES,-1.0000,-1.0000,0.7138,0.0019,ru86.4529
HD23249,2454126.02648,-3.08,1.05,UCLES,-1.0000,-1.0000,0.7149,0.002,ru86.4530
HD23249,2454126.02762,-6.58,1.05,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru86.4531
HD23249,2454127.01146,-0.80,0.91,UCLES,-1.0000,-1.0000,0.7179,0.002,ru86.4829
HD23249,2454127.01255,-3.52,0.90,UCLES,-1.0000,-1.0000,0.7171,0.0019,ru86.4830
HD23249,2454127.01364,-3.67,0.83,UCLES,-1.0000,-1.0000,0.7159,0.0019,ru86.4831
HD23249,2454127.01473,-5.03,0.92,UCLES,-1.0000,-1.0000,0.7170,0.002,ru86.4832
HD23249,2454127.01581,-6.68,0.89,UCLES,-1.0000,-1.0000,0.7176,0.002,ru86.4833
HD23249,2454127.01691,-6.19,0.98,UCLES,-1.0000,-1.0000,0.7182,0.0019,ru86.4834
HD23249,2454127.01800,-5.24,0.97,UCLES,-1.0000,-1.0000,0.7159,0.002,ru86.4835
HD23249,2454127.01909,-2.37,0.98,UCLES,-1.0000,-1.0000,0.7186,0.0019,ru86.4836
HD23249,2454127.02018,-1.29,0.91,UCLES,-1.0000,-1.0000,0.7190,0.002,ru86.4837
HD23249,2454127.02127,2.14,0.99,UCLES,-1.0000,-1.0000,0.7180,0.002,ru86.4838
HD23249,2454127.02235,0.26,1.03,UCLES,-1.0000,-1.0000,0.7178,0.002,ru86.4839
HD23249,2454127.02344,-0.46,0.86,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru86.4840
HD23249,2454127.02454,0.42,0.90,UCLES,-1.0000,-1.0000,0.7184,0.0021,ru86.4841
HD23249,2454128.01744,-1.99,1.07,UCLES,-1.0000,-1.0000,0.7188,0.0021,ru86.5126
HD23249,2454128.01871,-0.20,0.98,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru86.5127
HD23249,2454128.01996,-0.75,1.11,UCLES,-1.0000,-1.0000,0.7183,0.002,ru86.5128
HD23249,2454128.02124,0.01,1.05,UCLES,-1.0000,-1.0000,0.7173,0.002,ru86.5129
HD23249,2454128.02250,-5.58,1.08,UCLES,-1.0000,-1.0000,0.7171,0.0019,ru86.5130
HD23249,2454128.02377,-5.01,0.99,UCLES,-1.0000,-1.0000,0.7169,0.002,ru86.5131
HD23249,2454128.02502,-7.32,1.05,UCLES,-1.0000,-1.0000,0.7151,0.0021,ru86.5132
HD23249,2454128.02628,-6.77,1.11,UCLES,-1.0000,-1.0000,0.7168,0.0022,ru86.5133
HD23249,2454128.02756,-6.37,1.03,UCLES,-1.0000,-1.0000,0.7177,0.0021,ru86.5134
HD23249,2454128.02882,-5.07,1.01,UCLES,-1.0000,-1.0000,0.7179,0.002,ru86.5135
HD23249,2454128.03008,-3.40,1.14,UCLES,-1.0000,-1.0000,0.7148,0.0022,ru86.5136
HD23249,2454129.01148,0.14,0.93,UCLES,-1.0000,-1.0000,0.7150,0.002,ru86.5411
HD23249,2454129.01251,1.63,1.00,UCLES,-1.0000,-1.0000,0.7156,0.0021,ru86.5412
HD23249,2454129.01355,-0.86,0.94,UCLES,-1.0000,-1.0000,0.7180,0.0019,ru86.5413
HD23249,2454129.01458,-4.08,0.94,UCLES,-1.0000,-1.0000,0.7160,0.002,ru86.5414
HD23249,2454129.01561,-1.39,1.11,UCLES,-1.0000,-1.0000,0.7158,0.0021,ru86.5415
HD23249,2454129.01664,-3.46,1.00,UCLES,-1.0000,-1.0000,0.7163,0.0021,ru86.5416
HD23249,2454129.01767,-3.24,0.96,UCLES,-1.0000,-1.0000,0.7147,0.0021,ru86.5417
HD23249,2454129.01870,-6.84,1.17,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru86.5418
HD23249,2454129.01974,-4.64,0.97,UCLES,-1.0000,-1.0000,0.7158,0.002,ru86.5419
HD23249,2454129.02077,-0.53,0.98,UCLES,-1.0000,-1.0000,0.7151,0.0021,ru86.5420
HD23249,2454129.02180,2.09,0.97,UCLES,-1.0000,-1.0000,0.7151,0.0021,ru86.5421
HD23249,2454129.02283,-3.02,1.13,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru86.5422
HD23249,2454129.02386,-0.72,1.15,UCLES,-1.0000,-1.0000,0.7137,0.0023,ru86.5423
HD23249,2454129.02489,-2.09,1.18,UCLES,-1.0000,-1.0000,0.7146,0.0023,ru86.5424
HD23249,2454130.02174,-2.24,0.95,UCLES,-1.0000,-1.0000,0.7185,0.0019,ru86.5814
HD23249,2454130.02306,-3.90,1.00,UCLES,-1.0000,-1.0000,0.7175,0.002,ru86.5815
HD23249,2454130.02439,-0.07,0.99,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru86.5816
HD23249,2454130.02571,2.74,1.04,UCLES,-1.0000,-1.0000,0.7173,0.0019,ru86.5817
HD23249,2454130.02702,1.85,1.05,UCLES,-1.0000,-1.0000,0.7173,0.002,ru86.5818
HD23249,2454130.02834,-0.36,0.98,UCLES,-1.0000,-1.0000,0.7179,0.0019,ru86.5819
HD23249,2454130.02966,-1.75,1.12,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru86.5820
HD23249,2454130.03098,-4.19,0.94,UCLES,-1.0000,-1.0000,0.7158,0.0019,ru86.5821
HD23249,2454130.03231,-5.57,1.18,UCLES,-1.0000,-1.0000,0.7193,0.0023,ru86.5822
HD23249,2454130.03363,-8.33,1.11,UCLES,-1.0000,-1.0000,0.7177,0.0022,ru86.5823
HD23249,2454130.03495,-6.32,1.22,UCLES,-1.0000,-1.0000,0.7156,0.0026,ru86.5824
HD23249,2454131.01173,-1.85,0.99,UCLES,-1.0000,-1.0000,0.7174,0.0021,ru86.6128
HD23249,2454131.01282,1.94,1.00,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru86.6129
HD23249,2454131.01392,-0.53,0.96,UCLES,-1.0000,-1.0000,0.7176,0.002,ru86.6130
HD23249,2454131.01500,1.43,1.04,UCLES,-1.0000,-1.0000,0.7155,0.0021,ru86.6131
HD23249,2454131.01610,-1.65,1.00,UCLES,-1.0000,-1.0000,0.7164,0.0021,ru86.6132
