HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD22049,2456587.96745,17.41,1.09,HIRES-Post,0.4566,3.8e-06,-1.0000,-1.0000,rq69.668
HD22049,2456613.91103,9.37,1.04,HIRES-Post,0.4616,4.4e-06,-1.0000,-1.0000,rq69.1237
HD22049,2456637.81570,20.70,1.09,HIRES-Post,0.4688,4.1e-06,-1.0000,-1.0000,rq69.2009
HD22049,2456638.79195,27.76,1.09,HIRES-Post,0.4705,4e-06,-1.0000,-1.0000,rq69.2307
HD22049,2456674.80680,11.06,1.12,HIRES-Post,0.4572,4.7e-06,-1.0000,-1.0000,rq69.3177
HD22049,2456708.78335,2.04,0.90,HIRES-Post,0.4768,4.8e-06,-1.0000,-1.0000,rq70.99
HD22049,2456884.13171,11.26,0.99,HIRES-Post,0.4401,5.3e-06,-1.0000,-1.0000,rq72.5074
HD22049,2456889.14756,19.11,0.78,HIRES-Post,0.4167,3.5e-06,-1.0000,-1.0000,rq72.5236
HD22049,2456890.14781,11.86,0.83,HIRES-Post,0.4295,3.8e-06,-1.0000,-1.0000,rq72.5437
HD22049,2456894.14076,7.82,0.82,HIRES-Post,0.3959,3.4e-06,-1.0000,-1.0000,rq72.6121
HD22049,2456896.11209,14.91,0.82,HIRES-Post,0.4069,3.3e-06,-1.0000,-1.0000,rq72.6516
HD22049,2456911.02307,10.16,1.01,HIRES-Post,0.4439,5.9e-06,-1.0000,-1.0000,rq72.7326
HD22049,2456911.02362,13.25,1.13,HIRES-Post,0.4346,5.9e-06,-1.0000,-1.0000,rq72.7327
HD22049,2456911.02417,11.06,1.01,HIRES-Post,0.4501,5.7e-06,-1.0000,-1.0000,rq72.7328
HD22049,2457234.13915,9.18,0.84,HIRES-Post,0.4802,4.3e-06,-1.0000,-1.0000,rq73.5787
HD22049,2457241.13778,7.79,0.90,HIRES-Post,0.4420,5e-06,-1.0000,-1.0000,rq73.6486
HD22049,2457241.13831,6.89,0.92,HIRES-Post,0.4313,5.2e-06,-1.0000,-1.0000,rq73.6487
HD22049,2457241.13886,7.46,0.80,HIRES-Post,0.4410,3.8e-06,-1.0000,-1.0000,rq73.6488
HD22049,2457243.14377,1.57,0.86,HIRES-Post,0.4627,3.5e-06,-1.0000,-1.0000,rq73.6605
HD22049,2457245.14612,3.70,0.85,HIRES-Post,0.4660,5.1e-06,-1.0000,-1.0000,rq73.6854
HD22049,2457246.14322,2.86,1.06,HIRES-Post,0.4893,6e-06,-1.0000,-1.0000,rq73.7086
HD22049,2457247.14758,-4.46,0.88,HIRES-Post,0.4565,4.7e-06,-1.0000,-1.0000,rq73.7226
HD22049,2457254.14969,10.02,0.79,HIRES-Post,0.4669,3.7e-06,-1.0000,-1.0000,rq73.7411
HD22049,2457255.15324,7.22,0.82,HIRES-Post,0.4475,4.7e-06,-1.0000,-1.0000,rq73.7558
HD22049,2457256.15248,6.28,0.84,HIRES-Post,0.4604,4.7e-06,-1.0000,-1.0000,rq73.7728
HD22049,2457291.04764,8.17,1.00,HIRES-Post,0.4988,4.7e-06,-1.0000,-1.0000,rq73.8842
HD22049,2457326.98391,5.12,1.16,HIRES-Post,0.4851,5.1e-06,-1.0000,-1.0000,rq74.103
HD22049,2457353.88234,-3.31,1.19,HIRES-Post,0.5010,4.9e-06,-1.0000,-1.0000,rq74.389
HD22049,2457378.79074,0.79,1.17,HIRES-Post,0.5119,5.3e-06,-1.0000,-1.0000,rq74.895
HD22049,2457384.78225,11.02,1.15,HIRES-Post,0.5050,4.3e-06,-1.0000,-1.0000,rq74.1293
HD22049,2457401.75187,10.21,1.08,HIRES-Post,0.5134,4.6e-06,-1.0000,-1.0000,rq74.1488
HD22049,2457672.99575,-1.79,1.14,HIRES-Post,0.4873,4.8e-06,-1.0000,-1.0000,rq75.1376
HD22049,2457678.98054,-13.79,1.07,HIRES-Post,0.4786,4.7e-06,-1.0000,-1.0000,rq75.1606
