Name,JD,RVel,e_RVel,SNR,Dewar
GL699,2446957.8884,-15.17,32.49,56.0,2
GL699,2447048.7058,-16.44,23.34,46.0,2
GL699,2448845.7537,-21.54,24.27,59.0,2
GL699,2448906.638,12.06,20.13,59.0,2
GL699,2449114.9993,2.47,32.15,61.0,2
GL699,2449172.767,-11.15,22.37,88.0,2
GL699,2449174.8394,-5.83,24.35,88.0,2
GL699,2449200.7659,-36.23,26.51,75.0,2
GL699,2449469.9887,-2.55,24.07,80.0,2
GL699,2449622.676,-23.13,20.56,69.0,2
GL699,2449623.6432,-6.59,18.03,91.0,2
GL699,2449881.9729,3.65,11.28,42.0,13
GL699,2449913.84473,4.51,5.24,48.0,13
GL699,2450181.99219,9.85,5.06,48.0,13
GL699,2450300.75879,-12.89,4.52,52.0,13
GL699,2450304.71875,0.04,5.83,43.0,13
GL699,2450325.74121,3.24,5.04,47.0,13
GL699,2450610.89062,0.0,5.29,43.0,13
GL699,2450610.90625,9.2,9.08,28.0,13
GL699,2450610.9209,-13.19,6.7,37.0,13
GL699,2450613.78711,13.65,6.84,38.0,13
GL699,2450613.83106,3.72,6.91,35.0,13
GL699,2450614.84082,0.29,4.38,51.0,13
GL699,2450614.86426,3.93,4.63,52.0,13
GL699,2450640.81152,2.06,4.89,53.0,13
GL699,2450640.83398,-8.73,5.13,51.0,13
GL699,2450645.80078,22.13,4.03,64.0,13
GL699,2450645.81738,21.49,12.04,25.0,13
GL699,2450655.78711,-3.59,4.34,60.0,13
GL699,2450655.80957,-0.87,4.02,60.0,13
GL699,2450656.78613,-19.24,4.53,64.0,13
GL699,2450656.80859,-5.15,4.21,65.0,13
GL699,2450681.70019,10.6,4.29,60.0,13
GL699,2450681.72266,-5.19,4.7,57.0,13
GL699,2451026.77441,-11.73,7.52,56.0,6
GL699,2451364.76856,-3.63,9.07,42.0,6
GL699,2452831.84082,16.88,5.21,44.0,8
GL699,2452831.85352,19.14,5.93,43.0,8
GL699,2453955.76754,-3.48,5.31,46.0,8
GL699,2453958.67574,3.47,4.43,63.0,8
