Name,JD,RVel,e_RVel,SNR,Dewar
GL908,2447046.8425,-4.07,18.53,67.0,8
GL908,2447792.8772,17.2,80.55,25.0,8
GL908,2448200.6711,-9.15,19.64,64.0,8
GL908,2448645.6106,-4.14,19.98,58.0,8
GL908,2448845.8528,-60.44,15.48,81.0,8
GL908,2448905.8208,-4.67,21.03,72.0,8
GL908,2448991.6411,42.12,25.34,44.0,8
GL908,2449171.9805,-28.32,22.93,50.0,8
GL908,2449174.9644,9.61,15.02,104.0,8
GL908,2449349.5975,15.11,15.72,88.0,8
GL908,2449350.6696,19.73,17.09,98.0,8
GL908,2449621.866,-47.9,14.25,108.0,8
GL908,2449622.8138,-21.2,12.13,118.0,8
GL908,2449679.6487,0.0,7.64,55.0,13
GL908,2450002.76367,-27.03,7.65,32.0,13
GL908,2450088.63281,7.38,4.81,43.0,13
GL908,2450327.83691,5.85,3.0,73.0,13
GL908,2450656.90234,19.84,6.02,34.0,13
GL908,2451447.80176,12.72,4.73,67.0,6
