Name,JD,RVel,e_RVel,SNR,Dewar
GL15A,2447047.8422,9.38,18.98,50.0,13
GL15A,2447352.94804,-12.64,26.5,87.0,13
GL15A,2447846.8765,15.59,15.24,91.0,13
GL15A,2448200.6891,-31.56,14.4,99.0,13
GL15A,2448645.6627,-23.84,18.19,74.0,13
GL15A,2448845.88,-4.31,14.74,126.0,13
GL15A,2448905.8484,1.35,13.73,106.0,13
GL15A,2448907.7632,-7.85,15.37,118.0,13
GL15A,2448991.7204,7.35,15.1,121.0,13
GL15A,2449174.9811,-12.39,14.72,156.0,13
GL15A,2449349.6249,-26.93,15.22,173.0,13
GL15A,2449621.907,15.93,12.33,166.0,13
GL15A,2449623.8484,-2.47,12.48,170.0,13
GL15A,2449679.6748,-6.22,6.27,76.0,13
GL15A,2450004.65527,8.21,2.38,91.0,13
GL15A,2450072.67871,0.85,4.72,48.0,13
GL15A,2450088.70703,0.0,2.6,75.0,13
GL15A,2450300.86426,8.09,2.29,100.0,13
GL15A,2450325.81152,8.1,2.47,90.0,13
GL15A,2450327.88867,1.74,2.27,110.0,13
GL15A,2450437.70703,3.86,2.62,73.0,13
GL15A,2450441.67578,-6.07,4.01,51.0,13
GL15A,2450656.91309,-9.68,3.58,54.0,13
