Name,JD,RVel,e_RVel,SNR,Dewar
163675,2452111.79492,-20.61,4.04,99.0,6
163675,2452111.82422,-20.71,4.04,98.0,6
163675,2452120.79004,-15.82,3.95,96.0,6
163675,2452121.76562,-20.61,3.54,136.0,6
163675,2452122.78125,-22.07,3.04,157.0,6
163675,2452128.68097,1.5,9.02,94.0,6
163675,2452128.71037,-22.06,8.23,101.0,6
163675,2452449.86523,7.18,3.25,176.0,6
163675,2452451.89941,-0.88,2.91,226.0,6
163675,2452451.91016,10.51,2.93,224.0,6
163675,2452797.85644,9.92,2.94,99.0,8
163675,2452797.87891,17.34,2.91,96.0,8
163675,2452797.90234,3.22,3.17,95.0,8
163675,2452833.82519,-10.5,2.18,151.0,8
163675,2452833.83789,-12.47,2.11,156.0,8
163675,2452896.65332,-6.15,2.76,188.0,8
163675,2453107.97852,-0.24,2.44,167.0,8
163675,2453514.88523,-0.28,2.56,152.0,8
163675,2453543.85667,15.49,2.74,143.0,8
163675,2453544.84443,20.74,3.02,134.0,8
163675,2453545.91091,16.3,2.93,170.0,8
163675,2453843.99026,22.52,2.54,112.0,8
163675,2453896.86429,2.68,2.65,141.0,8
163675,2453953.7327,-6.18,2.74,117.0,8
163675,2453955.74893,5.97,2.31,133.0,8
163675,2453957.70965,-0.16,2.2,143.0,8
163675,2454253.91721,-5.83,2.66,132.0,8
163675,2454255.93234,-9.18,2.33,178.0,8
163675,2454311.75917,7.4,2.35,131.0,8
163675,2454585.88008,7.43,4.24,67.0,8
163675,2454585.89943,-3.34,4.3,62.0,8
163675,2454640.8422,-3.67,2.97,139.0,8
163675,2454695.68122,3.02,2.38,163.0,8
163675,2454695.68821,1.31,2.53,168.0,8
163675,2454695.6959,0.0,2.67,163.0,8
163675,2455603.07771,22.73,2.76,155.0,8
163675,2455604.08882,12.67,2.8,174.0,8
163675,2455846.64385,-3.85,3.34,96.0,8
