Name,JD,RVel,e_RVel,SNR,Dewar
4614B,2449914.99609,27.44,3.43,70.0,13
4614B,2449969.93261,-33.71,4.06,58.0,13
4614B,2450013.79785,-11.54,7.57,36.0,13
4614B,2450089.62207,-6.03,4.63,56.0,13
4614B,2450299.94824,24.43,2.95,89.0,13
4614B,2450300.9707,11.09,2.4,119.0,13
4614B,2450326.84473,7.5,2.5,136.0,13
4614B,2450421.7168,9.99,2.88,97.0,13
4614B,2450437.6543,0.76,3.16,83.0,13
4614B,2450441.61328,10.42,2.96,87.0,13
4614B,2450640.96875,11.24,3.57,62.0,13
4614B,2450646.00355,10.33,3.33,74.0,13
4614B,2450655.96484,9.55,4.17,59.0,13
4614B,2450681.96191,-19.24,4.13,56.0,13
4614B,2450767.66699,-7.16,4.05,68.0,13
4614B,2450793.67676,7.93,3.53,65.0,13
4614B,2450794.72754,-7.09,4.75,55.0,13
4614B,2451131.75586,-72.76,5.73,63.0,6
4614B,2451175.70117,-123.43,8.6,47.0,6
4614B,2451417.00488,-40.02,3.65,111.0,6
4614B,2451446.01953,-29.28,3.96,109.0,6
