Name,JD,RVel,e_RVel,SNR,Dewar
152446,2451004.7824,-20.93,12.63,73.0,6
152446,2451006.75488,6.3,12.55,81.0,6
152446,2451026.74707,19.97,14.59,67.0,6
152446,2451027.74707,0.52,10.98,82.0,6
152446,2451048.70606,-19.76,13.94,67.0,6
152446,2451391.7334,-36.38,11.36,82.0,6
152446,2451391.75488,-11.45,11.0,83.0,6
152446,2452812.8125,-1.98,8.93,173.0,8
152446,2452812.82422,-28.4,7.76,178.0,8
152446,2452893.67871,17.23,8.3,130.0,8
152446,2453107.96973,51.98,8.53,145.0,8
152446,2453516.87872,15.66,9.15,159.0,8
152446,2453964.74742,-52.17,13.82,53.0,8
152446,2453964.76788,-16.74,15.39,49.0,8
152446,2453964.78833,0.0,15.27,47.0,8
152446,2454373.62859,6.3,8.86,98.0,8
152446,2454722.68606,-0.32,8.44,136.0,8
152446,2454722.69082,19.66,7.77,133.0,8
