Name,JD,RVel,e_RVel,SNR,Dewar
154160,2452111.73438,-6.41,4.81,94.0,6
154160,2452111.76367,-18.47,5.04,98.0,6
154160,2452112.74609,2.6,5.37,86.0,6
154160,2452112.77441,-8.64,4.93,91.0,6
154160,2452121.74902,-3.14,3.32,163.0,6
154160,2452122.76269,-10.99,3.62,141.0,6
154160,2452427.88086,9.33,4.06,91.0,8
154160,2452427.89648,9.74,4.62,87.0,8
154160,2452429.81738,0.0,2.88,158.0,8
154160,2452450.90332,4.03,3.9,156.0,6
154160,2452450.91211,3.94,3.78,151.0,6
154160,2452796.86816,14.21,3.59,98.0,8
154160,2452796.88965,12.93,3.24,93.0,8
154160,2452796.91309,1.41,3.49,92.0,8
154160,2452813.82715,0.08,2.82,171.0,8
154160,2452813.83887,2.92,2.57,168.0,8
154160,2452831.7959,-12.33,2.26,213.0,8
154160,2452831.80469,-15.31,2.28,192.0,8
154160,2452893.69043,-3.09,3.07,164.0,8
154160,2453070.03809,4.26,3.61,94.0,8
154160,2453157.87988,7.2,2.83,168.0,8
154160,2453482.97639,-1.27,2.59,161.0,8
154160,2453514.87738,-0.02,2.98,142.0,8
154160,2453515.80525,-10.25,3.02,154.0,8
154160,2453543.82507,5.12,2.68,139.0,8
154160,2453544.82059,2.23,2.9,166.0,8
154160,2453545.8427,9.21,2.86,162.0,8
154160,2453568.76189,-16.63,2.75,172.0,8
154160,2453636.64963,0.13,2.36,180.0,8
154160,2453774.0906,-3.76,3.28,222.0,8
154160,2453843.90671,16.1,3.29,114.0,8
154160,2453866.79932,-5.25,2.59,219.0,8
154160,2453867.81836,-1.06,2.77,176.0,8
154160,2453867.91972,5.9,2.68,168.0,8
154160,2453869.91301,-0.88,2.8,161.0,8
154160,2453953.71271,8.1,2.69,145.0,8
154160,2453955.73931,-1.09,2.92,156.0,8
154160,2453957.70257,-11.42,2.49,166.0,8
154160,2453987.70075,-6.87,2.4,187.0,8
154160,2453988.69914,5.85,3.0,149.0,8
154160,2453989.73632,-1.03,2.52,178.0,8
154160,2454311.73613,-3.58,2.65,126.0,8
154160,2454640.82599,-12.3,2.62,156.0,8
154160,2454649.8499,-11.37,2.69,169.0,8
154160,2454650.81197,3.5,2.68,177.0,8
154160,2454722.6955,3.99,2.41,150.0,8
154160,2454722.70008,17.99,2.74,148.0,8
154160,2454723.70058,9.82,2.56,147.0,8
154160,2454723.70728,-5.96,2.46,143.0,8
