objname,ra,dec,bjd,rv,rv_err,fwhm,span,maxcpp,contrast,lines,sn26
HD048682,100.784111140677,43.6316574094355,2456927.5973718,-23894.8764801025,0.514299,9222.039999999999,13.5,25370,32.277,4765,306.879
HD048682,100.784111140677,43.6316574094355,2456738.31130345,-23899.2805480957,1.89051,9176.15,17.0,2483,30.9223,4674,88.0904
HD048682,100.784111140677,43.6316574094355,2457841.44837256,-23896.814346313502,0.531475,9148.39,16.6667,24362,32.8867,4675,274.628
HD048682,100.784111140677,43.6316574094355,2457654.61541713,-23897.3197937012,0.451935,9198.96,17.6667,32429,32.5665,4764,332.379
HD048682,100.784111140677,43.6316574094355,2457783.29478024,-23897.232055664103,0.415685,9159.3,13.6667,39881,32.8498,4694,358.015
HD048682,100.784111140677,43.6316574094355,2457419.35136902,-23892.1413421631,0.819913,9180.75,13.8333,10697,32.3389,4696,183.399
HD048682,100.784111140677,43.6316574094355,2457316.62616039,-23891.443252563502,0.51401,9173.19,13.3333,26525,32.6511,4765,292.088
HD048682,100.784111140677,43.6316574094355,2457840.42926611,-23896.650314331102,0.424237,9157.550000000001,14.666699999999999,37730,32.8642,4674,345.871
HD048682,100.784111140677,43.6316574094355,2457775.29783555,-23896.8029022217,0.357637,9165.27,15.3333,54395,32.8799,4699,418.01
HD048682,100.784111140677,43.6316574094355,2457788.45098523,-23915.8744812012,3.99779,9122.1,13.1667,720,30.2337,4694,42.48
HD048682,100.784111140677,43.6316574094355,2457841.35721207,-23895.4792022705,0.47742900000000005,9146.359999999999,15.3333,30918,32.9575,4675,308.447
HD048682,100.784111140677,43.6316574094355,2457789.37740373,-23897.394180297902,0.657898,9138.16,12.833300000000001,16555,32.8616,4693,222.93
HD048682,100.784111140677,43.6316574094355,2456926.60818305,-23894.5407867432,0.543822,9209.960000000001,15.3333,22969,32.3545,4764,286.957
HD048682,100.784111140677,43.6316574094355,2457715.68211114,-23903.5034179688,2.3711499999999996,9112.32,3.8333299999999997,1695,31.4683,4749,68.775
HD048682,100.784111140677,43.6316574094355,2457095.34377188,-23889.9631500244,3.06405,9165.47,-2.33333,1121,30.0527,4676,55.8917
HD048682,100.784111140677,43.6316574094355,2456696.43513623,-23897.705078125,0.898287,9178.65,18.5,9151,32.3359,4691,169.046
HD048682,100.784111140677,43.6316574094355,2456640.44778436,-23897.9301452637,0.980484,9192.43,11.1667,7624,32.21,4730,155.65
HD048682,100.784111140677,43.6316574094355,2456706.38522333,-23906.3911437988,0.861362,9192.310000000001,9.66667,9838,32.2606,4684,177.293
HD048682,100.784111140677,43.6316574094355,2457837.45961179,-23902.1625518799,0.607319,9153.42,17.6667,18368,32.7523,4675,240.54
HD048682,100.784111140677,43.6316574094355,2457286.62969142,-23894.6285247803,0.539179,9232.56,10.3333,23829,32.2398,4766,296.762
HD048682,100.784111140677,43.6316574094355,2456589.62370874,-23895.8835601807,0.764506,9164.81,12.1667,12124,32.4774,4762,197.292
HD048682,100.784111140677,43.6316574094355,2456969.55710286,-23893.997192382798,0.533449,9161.429999999998,12.0,25069,32.7636,4761,280.479
HD048682,100.784111140677,43.6316574094355,2457312.6250277,-23885.2958679199,0.515315,9171.78,13.6667,26748,32.6577,4766,292.102
HD048682,100.784111140677,43.6316574094355,2457315.57210867,-24038.6486053467,98.82730000000001,8875.65,297.833,84,6.95057,4766,7.37313
HD048682,100.784111140677,43.6316574094355,2457310.69282731,-23890.8596038818,0.8577809999999999,9163.199999999999,15.5,9878,32.3877,4766,175.778
HD048682,100.784111140677,43.6316574094355,2457315.57929681,-23893.5470581055,1.5034399999999999,9165.050000000001,17.1667,3301,31.6301,4766,102.059
HD048682,100.784111140677,43.6316574094355,2456741.31396542,-23897.180557251002,0.8295779999999999,9189.26,12.3333,10724,32.2625,4674,183.999
HD048682,100.784111140677,43.6316574094355,2457790.42034219,-23895.6317901611,1.0263,9135.76,15.0,7016,32.3981,4692,144.548
