,HD,JD,RVel,e_RVel,Sind,e_Sind,Hind,e_Hind,EWHa,e_EWHa,RHKp,e_RHKp,BIS,FWHM,Tel,Bibcode
0,17051,2452949.7194905,-35.49512,1.740345,-1,-1,0.403181,0.000706,-1,-1,2.90901517916846e-05,2.90901517916846e-05,37.043,9918.489,HARPS-pre,2020yCat..36360074T
1,17051,2452949.7203303,-32.118923,1.778025,-1,-1,0.40284,0.000754,-1,-1,3.1166890563654e-05,3.1166890563654e-05,35.749,9931.374,HARPS-pre,2020yCat..36360074T
2,17051,2452949.7211637,-35.643456,1.63641,-1,-1,0.402618,0.000663,-1,-1,2.96842077094949e-05,2.96842077094949e-05,41.515,9919.21,HARPS-pre,2020yCat..36360074T
3,17051,2452949.7222698,-33.077104,1.297258,-1,-1,0.403251,0.000454,-1,-1,-9999999.0,-9999999.0,37.128,9925.944,HARPS-pre,2020yCat..36360074T
4,17051,2452949.7235625,-32.709212,1.295457,-1,-1,0.403665,0.000454,-1,-1,2.73906780067161e-05,2.73906780067161e-05,34.349,9922.604,HARPS-pre,2020yCat..36360074T
5,17051,2452949.7248666,-35.469119,1.338079,-1,-1,0.402244,0.000483,-1,-1,2.65032016510173e-05,2.65032016510173e-05,36.794,9917.073,HARPS-pre,2020yCat..36360074T
6,17051,2452949.7266864,-32.815257,1.127633,-1,-1,0.402601,0.000329,-1,-1,2.80611787619533e-05,2.80611787619533e-05,35.085,9925.063,HARPS-pre,2020yCat..36360074T
7,17051,2452949.7288778,-33.805817,1.143167,-1,-1,0.402297,0.000341,-1,-1,2.83857663841915e-05,2.83857663841915e-05,35.586,9927.794,HARPS-pre,2020yCat..36360074T
8,17051,2452949.731114,-34.71564,1.13121,-1,-1,0.402432,0.000327,-1,-1,2.86478241566499e-05,2.86478241566499e-05,38.123999999999995,9932.016000000001,HARPS-pre,2020yCat..36360074T
9,17051,2452949.7342629,-33.795151,1.031784,-1,-1,0.402681,0.000234,-1,-1,2.81788162112604e-05,2.81788162112604e-05,35.333999999999996,9935.316,HARPS-pre,2020yCat..36360074T
10,17051,2452949.7383455,-34.651782,1.029143,-1,-1,0.402296,0.000232,-1,-1,2.77906310180258e-05,2.77906310180258e-05,35.958999999999996,9934.124,HARPS-pre,2020yCat..36360074T
11,17051,2452949.7424156,-34.57422,1.030238,-1,-1,0.402336,0.000239,-1,-1,2.76382287506137e-05,2.76382287506137e-05,38.39,9931.858999999999,HARPS-pre,2020yCat..36360074T
