Name,JD,RVel,e_RVel,SNR,Dewar
190406,2447047.7269,251.62,8.91,315.0,8
190406,2447373.7993,220.96,10.17,216.0,8
190406,2447373.8031,214.17,10.06,225.0,8
190406,2447373.8069,217.97,10.05,231.0,8
190406,2447373.8111,218.06,10.05,225.0,8
190406,2447373.815,199.24,9.23,223.0,8
190406,2447373.819,215.25,11.64,197.0,8
190406,2447373.9309,206.16,10.25,245.0,8
190406,2447373.937,200.56,10.25,255.0,8
190406,2447374.8333,166.01,13.17,365.0,8
190406,2447374.8431,187.56,12.18,345.0,8
190406,2447374.8519,205.2,9.92,323.0,8
190406,2447374.9668,222.4,9.09,319.0,8
190406,2447394.7896,204.39,13.38,169.0,8
190406,2447430.6755,241.13,10.53,269.0,8
190406,2447431.6787,254.71,11.28,267.0,8
190406,2447578.0625,228.55,13.11,239.0,8
190406,2447710.8665,212.98,13.09,200.0,8
190406,2447846.6953,182.64,10.41,217.0,8
190406,2448018.9964,171.98,16.47,299.0,8
190406,2448019.9722,197.82,16.27,191.0,8
190406,2448113.8465,131.09,10.18,373.0,8
190406,2448200.6166,157.38,10.15,333.0,8
190406,2448375.0058,139.59,16.04,145.0,8
190406,2448437.9548,154.11,14.97,391.0,8
190406,2448834.7981,136.21,13.79,124.0,8
190406,2448834.8207,128.13,12.6,124.0,8
190406,2448834.8428,117.63,11.64,124.0,8
190406,2448847.8138,121.4,8.96,331.0,8
190406,2448905.7075,129.76,8.0,307.0,8
190406,2449122.9737,64.13,18.26,137.0,8
190406,2449122.9952,105.22,18.76,133.0,8
190406,2449171.8462,96.5,10.41,348.0,8
190406,2449173.8387,91.88,11.8,288.0,8
190406,2449174.8968,103.66,10.41,300.0,8
190406,2449200.8317,93.03,9.55,289.0,8
190406,2449278.7288,91.21,14.13,130.0,8
190406,2449278.7503,104.41,13.83,130.0,8
190406,2449280.7292,96.97,12.4,140.0,8
190406,2449280.7506,84.1,12.9,135.0,8
190406,2449587.7532,76.23,11.67,179.0,8
190406,2449587.775,69.96,13.06,179.0,8
190406,2449589.7257,73.79,13.21,178.0,8
190406,2449589.7539,76.78,12.56,163.0,8
190406,2449602.7254,93.68,12.49,176.0,8
190406,2449602.7492,95.64,11.24,175.0,8
190406,2449622.7311,83.84,10.8,265.0,8
190406,2449680.6019,57.75,6.45,134.0,13
190406,2449872.88965,43.36,3.63,90.0,13
190406,2449872.91211,41.91,3.51,90.0,13
190406,2449872.93457,49.61,4.12,88.0,13
190406,2449893.85547,44.69,3.8,96.0,13
190406,2449893.87891,46.32,3.75,96.0,13
190406,2449893.90332,50.54,3.47,96.0,13
190406,2449913.92285,37.64,2.25,288.0,13
190406,2449984.65723,56.09,4.01,85.0,13
190406,2449984.67969,46.11,3.54,95.0,13
190406,2449984.70312,43.42,3.64,94.0,13
190406,2450214.92676,-12.77,11.37,36.0,13
190406,2450215.86719,7.99,5.05,70.0,13
190406,2450215.89062,-6.15,4.05,80.0,13
190406,2450263.84863,10.48,2.39,273.0,13
190406,2450299.82519,16.93,2.36,205.0,13
190406,2450304.83789,6.72,2.3,231.0,13
190406,2450613.89746,-12.31,3.16,139.0,13
190406,2450614.92969,-18.58,2.87,139.0,13
190406,2450640.89356,0.0,2.78,144.0,13
190406,2450656.83008,-1.24,2.96,137.0,13
190406,2450793.55469,-21.93,3.56,114.0,13
190406,2450793.56348,-12.28,3.27,121.0,13
190406,2450793.57227,-8.0,2.78,120.0,13
190406,2450979.92188,-28.55,4.34,114.0,6
190406,2451048.84766,-8.23,4.03,121.0,6
190406,2451062.76172,-40.74,4.28,107.0,6
190406,2451299.99805,-44.25,3.01,176.0,13
190406,2451303.9834,-57.07,2.82,215.0,6
190406,2451305.97461,-56.74,3.04,198.0,6
190406,2451389.85449,-75.79,3.56,125.0,6
190406,2451389.87305,-67.37,4.01,128.0,6
190406,2451392.82519,-70.94,4.03,125.0,6
190406,2451392.84375,-68.47,3.9,124.0,6
190406,2451416.69922,-49.42,2.98,256.0,6
190406,2451467.64453,-55.05,5.4,96.0,6
190406,2451468.61035,-57.22,4.23,115.0,6
190406,2451751.82324,-66.48,2.58,304.0,6
190406,2451815.64356,-76.73,4.82,104.0,6
190406,2452041.98828,-97.15,4.07,134.0,6
190406,2452075.93066,-109.12,2.8,266.0,6
190406,2452115.86231,-102.04,3.88,131.0,6
190406,2452115.8916,-104.36,3.87,130.0,6
190406,2452117.84375,-94.79,2.99,151.0,6
190406,2452117.87305,-89.74,3.43,149.0,6
190406,2452140.76758,-89.03,3.48,155.0,6
190406,2452140.79688,-82.14,3.59,155.0,6
190406,2452181.62891,-106.68,3.41,141.0,6
190406,2452181.6582,-104.75,3.56,143.0,6
190406,2452186.65625,-99.52,4.93,102.0,6
190406,2452186.67969,-90.92,3.87,141.0,6
190406,2452188.68848,-94.14,4.74,106.0,6
190406,2452188.71973,-94.47,4.18,115.0,6
190406,2452202.66309,-104.43,3.56,148.0,6
190406,2452202.69336,-100.51,3.77,134.0,6
190406,2452508.75879,-144.15,2.81,192.0,8
190406,2452509.74609,-147.08,2.56,254.0,8
190406,2452894.73047,-156.77,3.11,165.0,8
190406,2453203.82812,-149.64,3.76,103.0,8
190406,2453544.94259,-219.42,2.98,150.0,8
190406,2453556.90515,-194.03,3.51,114.0,8
190406,2453556.92406,-193.21,3.89,88.0,8
190406,2453561.88441,-209.96,4.2,95.0,8
190406,2453561.90381,-209.08,3.8,97.0,8
190406,2453589.82626,-194.71,4.31,113.0,8
190406,2453926.88905,-222.93,3.37,94.0,8
190406,2453926.90462,-223.31,3.4,93.0,8
190406,2453954.76009,-227.25,2.71,156.0,8
190406,2453958.76117,-231.69,2.3,182.0,8
190406,2453958.76611,-237.63,2.59,162.0,8
190406,2453958.8261,-234.55,2.47,157.0,8
190406,2453989.87081,-233.3,2.78,154.0,8
190406,2454697.91721,-242.97,3.04,173.0,8
190406,2454697.9252,-251.04,2.91,164.0,8
190406,2455527.58962,-208.48,2.46,152.0,8
190406,2455843.78779,-200.66,3.92,144.0,8
190406,2455844.68082,-170.94,3.74,136.0,8
190406,2455846.69174,-162.27,3.19,129.0,8
