,HD,JD,RVel,e_RVel,Sind,e_Sind,Hind,e_Hind,EWHa,e_EWHa,RHKp,e_RHKp,BIS,FWHM,Tel,Bibcode
0,25998,2454805.98939,33.13,6.35,0.2591,-1,0.03341,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
1,25998,2455136.03341,-4.59,7.0,0.2573,-1,0.03345,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
2,25998,2455879.9567,15.54,7.81,0.2391,-1,0.03314,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
3,25998,2456530.01121,8.83,6.35,0.2758,-1,0.0339,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
4,25998,2456533.10594,-10.69,10.59,0.2718,-1,0.0341,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
5,25998,2456585.97424,-46.48,6.85,0.2526,-1,0.03357,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
6,25998,2456588.02487,-29.35,6.52,0.2642,-1,0.03374,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
7,25998,2456614.00556,3.81,7.18,0.2599,-1,0.03392,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
8,25998,2456709.75263,20.23,6.73,0.2608,-1,0.03378,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
9,25998,2456861.1333,10.11,6.96,0.2421,-1,0.0332,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
10,25998,2456890.13663,0.0,5.93,0.2511,-1,0.03362,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
11,25998,2456892.14638,-16.26,6.51,0.2372,-1,0.03332,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
12,25998,2456893.14279,-61.3,6.58,0.2467,-1,0.0336,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
13,25998,2456894.11477,39.14,11.32,0.244,-1,0.03335,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
14,25998,2456895.12059,64.73,7.58,0.2517,-1,0.03381,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
15,25998,2456907.12964,-15.25,7.6,0.2516,-1,0.03337,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
16,25998,2456909.14171,-95.97,6.82,0.2509,-1,0.0335,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
17,25998,2456910.09281,24.32,10.59,0.2529,-1,0.03363,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
18,25998,2457294.15561,-13.71,5.8,-1.0,-1,-1.0,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
19,25998,2457414.83243,37.79,7.07,0.2453,-1,0.03371,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
20,25998,2457597.13077,38.99,6.88,0.2489,-1,0.03378,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
21,25998,2457598.13215,-10.93,7.65,0.2452,-1,0.03384,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
22,25998,2457714.91038,9.32,7.35,0.2586,-1,0.03369,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
23,25998,2457747.70354,-22.05,6.91,0.2447,-1,0.03361,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
24,25998,2457760.76566,27.27,6.94,0.2632,-1,0.03367,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
25,25998,2457760.77903,3.58,7.06,0.2438,-1,0.03362,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
26,25998,2457761.81273,13.93,7.0,0.247,-1,0.03353,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
27,25998,2457787.74772,-27.22,7.57,0.2485,-1,0.03348,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
28,25998,2457985.14652,-22.87,10.73,0.2434,-1,0.03334,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
29,25998,2457989.14775,-59.78,10.78,0.2566,-1,0.03352,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
30,25998,2458390.11907,-54.52,10.05,-1.0,-1,-1.0,-1,-1,-1,-1,-1,0,-1,HIRES-post,2017yCat..51530208B
