objname,ra,dec,bjd,rv,rv_err,fwhm,span,maxcpp,contrast,lines,sn26
HD222368,354.349438299708,5.34907307189522,2454043.47193871,5643.18466186523,0.782687,10640.4,,18025,23.2677,4689,263.521
HD222368,354.349438299708,5.34907307189522,2454024.44194211,5649.6376991272,0.42948,10613.699999999999,,55273,24.2187,4697,436.376
HD222368,354.349438299708,5.34907307189522,2454332.53344253,5644.32048797607,1.2983,10626.2,,6793,23.8056,4740,143.473
HD222368,354.349438299708,5.34907307189522,2455918.32447504,5662.33777999878,1.61603,10673.9,43.3333,4282,23.4156,4673,115.948
HD222368,354.349438299708,5.34907307189522,2454358.51041244,5675.77075958252,0.394836,10727.4,32.8333,66543,23.6155,4718,503.215
HD222368,354.349438299708,5.34907307189522,2455905.29944281,5672.48344421387,0.830341,10655.2,30.5,16829,23.8695,4673,231.179
HD222368,354.349438299708,5.34907307189522,2454318.57856116,5666.40996932983,0.520467,10708.9,,39975,23.6962,4748,382.227
HD222368,354.349438299708,5.34907307189522,2454421.34153389,5666.20540618896,1.49914,10708.1,20.833299999999998,5128,23.0297,4681,133.625
HD222368,354.349438299708,5.34907307189522,2454367.37617492,5675.8537292480505,0.7259220000000001,10882.099999999999,19.5,12782,22.0155,4716,261.694
HD222368,354.349438299708,5.34907307189522,2455842.41184913,5681.29968643188,1.1804599999999998,10624.2,31.8333,8661,23.6609,4702,162.214
HD222368,354.349438299708,5.34907307189522,2454023.42034147,5645.50256729126,0.44662100000000005,10632.7,,51310,23.9427,4700,422.797
HD222368,354.349438299708,5.34907307189522,2454367.37854759,5670.07541656494,0.709445,10884.2,19.0,13749,22.1158,4716,270.675
HD222368,354.349438299708,5.34907307189522,2457237.59350443,5654.78515625,0.5683119999999999,10721.6,36.5,32342,23.7498,4750,347.917
HD222368,354.349438299708,5.34907307189522,2455918.32271595,5662.18996047974,1.5423,10657.400000000001,43.3333,4724,23.4863,4673,121.82
HD222368,354.349438299708,5.34907307189522,2454096.30648748,5654.02030944824,0.40938599999999997,10669.5,,69283,23.8606,4674,484.002
HD222368,354.349438299708,5.34907307189522,2454339.53325411,5639.34755325317,0.48042799999999997,10614.3,35.666700000000006,47231,24.1759,4735,379.568
HD222368,354.349438299708,5.34907307189522,2454372.47156098,5662.8518104553195,1.45619,10677.4,38.8333,5154,23.2926,4708,133.524
HD222368,354.349438299708,5.34907307189522,2454309.62335217,5640.50149917603,0.368484,10646.800000000001,,81579,24.1735,4752,503.478
HD222368,354.349438299708,5.34907307189522,2454363.52026078,5664.1674041748,0.573791,10684.0,26.0,33698,23.7651,4717,345.613
HD222368,354.349438299708,5.34907307189522,2454099.22222867,5647.0828056335395,0.43943200000000004,10616.0,,63555,24.1131,4672,437.658
HD222368,354.349438299708,5.34907307189522,2455908.30683051,5665.19594192505,2.41748,10636.6,36.8333,3195,23.3943,4673,98.0344
HD222368,354.349438299708,5.34907307189522,2454372.47259106,5661.3130569458,1.43819,10678.699999999999,41.3333,5273,23.2753,4708,135.132
HD222368,354.349438299708,5.34907307189522,2454365.51991056,5672.55163192749,0.721107,10788.4,26.166700000000002,18107,22.9548,4716,279.925
HD222368,354.349438299708,5.34907307189522,2454367.57193754,5676.25522613525,0.721543,10853.300000000001,27.6667,14468,22.3018,4714,272.164
HD222368,354.349438299708,5.34907307189522,2457237.59087693,5653.2897949218805,0.585695,10718.6,31.0,30315,23.7328,4750,337.277
HD222368,354.349438299708,5.34907307189522,2454346.4627932,5646.2140083313,3.4205099999999997,10594.300000000001,36.166700000000006,1702,22.757,4723,71.0852
HD222368,354.349438299708,5.34907307189522,2454365.38849892,5669.22616958618,0.735707,10843.199999999999,26.166700000000002,15739,22.5931,4716,274.064
HD222368,354.349438299708,5.34907307189522,2454363.39583945,5663.8355255127,0.5091880000000001,10793.0,34.333299999999994,37362,23.1417,4717,405.541
HD222368,354.349438299708,5.34907307189522,2454359.43216733,5663.86222839355,0.458302,10785.4,27.6667,44911,23.2681,4718,434.697
HD222368,354.349438299708,5.34907307189522,2454423.26561877,5667.3321723938,0.926854,10819.3,31.0,12333,22.9125,4681,234.611
HD222368,354.349438299708,5.34907307189522,2454079.33060123,5659.87825393677,1.39907,10566.5,,6441,23.8033,4674,136.832
HD222368,354.349438299708,5.34907307189522,2454349.53927322,5663.19417953491,1.2534,10645.300000000001,36.8333,7475,23.5955,4723,153.092
HD222368,354.349438299708,5.34907307189522,2454358.50491471,5672.73473739624,0.38629199999999997,10721.9,35.3333,69833,23.6507,4718,513.558
HD222368,354.349438299708,5.34907307189522,2455908.30977003,5663.27953338623,2.53918,10634.2,39.5,2951,23.353,4673,93.4902
HD222368,354.349438299708,5.34907307189522,2454359.43639189,5659.27743911743,0.456142,10772.3,26.0,46098,23.3521,4718,434.807
HD222368,354.349438299708,5.34907307189522,2454366.52686253,5679.7513961792,0.5836469999999999,10843.6,27.5,25709,22.6828,4715,354.175
HD222368,354.349438299708,5.34907307189522,2455908.31088103,5668.35117340088,3.21394,10599.5,30.5,1899,23.162,4673,74.3495
HD222368,354.349438299708,5.34907307189522,2457240.57883864,5666.23163223267,0.5183810000000001,10737.0,28.5,37933,23.6911,4749,381.724
HD222368,354.349438299708,5.34907307189522,2454421.34046917,5662.14990615845,1.38424,10700.4,35.666700000000006,6106,23.1781,4681,145.715
HD222368,354.349438299708,5.34907307189522,2454026.39642731,5644.8483467102105,0.582567,10566.2,,31434,24.4327,4697,314.313
HD222368,354.349438299708,5.34907307189522,2454366.36724523,5666.39995574951,0.658818,10798.0,22.3333,21359,23.0505,4715,310.03
HD222368,354.349438299708,5.34907307189522,2454024.44572667,5649.99866485596,0.424576,10607.699999999999,,56900,24.2576,4697,440.296
HD222368,354.349438299708,5.34907307189522,2454309.61878006,5637.53032684326,0.36030300000000004,10633.4,,85070,24.1931,4752,514.701
HD222368,354.349438299708,5.34907307189522,2454318.57544752,5663.81883621216,0.51676,10713.699999999999,,40708,23.6913,4748,384.948
HD222368,354.349438299708,5.34907307189522,2454376.43203329,5655.31206130981,0.849823,10721.199999999999,35.3333,14764,23.5275,4708,234.048
HD222368,354.349438299708,5.34907307189522,2454079.32911989,5660.26782989502,1.16751,10562.6,,9075,24.0354,4674,163.279
HD222368,354.349438299708,5.34907307189522,2455842.40601597,5680.65118789673,1.18842,10626.8,30.8333,8544,23.6448,4702,161.055
HD222368,354.349438299708,5.34907307189522,2454043.38019741,5643.52083206177,0.706549,10542.8,,24895,24.1061,4689,272.853
