objname,ra,dec,bjd,rv,rv_err,fwhm,span,maxcpp,contrast,lines,sn26
HD010700,25.4112392163055,-16.1883277820386,2459895.38078928,-16580.9726715088,0.526008,9166.84,-28.5,27625,30.4281,4694,331.931
HD010700,25.4112392163055,-16.1883277820386,2459895.39262898,-16582.220077514598,0.6350359999999999,9155.390000000001,-31.6667,19164,30.4128,4694,273.32
HD010700,25.4112392163055,-16.1883277820386,2459895.38923794,-16581.975936889598,0.658551,9155.390000000001,-29.0,17852,30.3797,4694,264.209
HD010700,25.4112392163055,-16.1883277820386,2459895.39177254,-16581.3598632812,0.639977,9156.16,-26.5,18844,30.3939,4694,271.341
HD010700,25.4112392163055,-16.1883277820386,2459895.38582376,-16584.9304199219,0.6129049999999999,9164.01,-25.8333,20517,30.3873,4694,285.224
HD010700,25.4112392163055,-16.1883277820386,2459895.38332388,-16584.476470947302,0.631873,9162.44,-26.5,19296,30.3497,4694,276.236
HD010700,25.4112392163055,-16.1883277820386,2459895.3883815,-16584.976196289103,0.6228670000000001,9165.25,-29.5,19846,30.3404,4694,281.335
HD010700,25.4112392163055,-16.1883277820386,2459895.39008281,-16580.0647735596,0.645217,9151.490000000002,-26.8333,18577,30.4049,4694,269.033
HD010700,25.4112392163055,-16.1883277820386,2459895.3866802,-16579.6928405762,0.656853,9150.95,-28.5,17930,30.4057,4694,263.874
HD010700,25.4112392163055,-16.1883277820386,2459895.38752506,-16583.3358764648,0.607127,9167.72,-27.6667,20859,30.358,4694,288.336
HD010700,25.4112392163055,-16.1883277820386,2459895.38499046,-16584.150314331102,0.598807,9164.44,-26.666700000000002,21395,30.3495,4694,292.644
HD010700,25.4112392163055,-16.1883277820386,2459895.39092768,-16583.051681518602,0.658427,9154.38,-26.5,17859,30.3785,4694,264.728
