objname,ra,dec,bjd,rv,rv_err,fwhm,span,maxcpp,contrast,lines,sn26
HD190360,300.402473151948,29.7547752605177,2457571.50165849,-45237.1063232422,0.43105699999999997,7764.56,-25.5,14294,48.0389,4750,231.779
HD190360,300.402473151948,29.7547752605177,2456517.45131117,-45208.3625793457,0.352806,7749.41,-29.8333,21332,48.2681,4727,277.387
HD190360,300.402473151948,29.7547752605177,2457199.52921455,-45233.2077026367,0.508254,7747.24,-29.666700000000002,10740,48.1118,4752,193.81
HD190360,300.402473151948,29.7547752605177,2456521.44314092,-45208.8279724121,0.369907,7745.3,-29.666700000000002,19614,48.2961,4723,264.867
HD190360,300.402473151948,29.7547752605177,2455779.57454034,-45324.5048522949,16.023,7861.849999999999,9.16667,94,28.4463,4732,10.4579
HD190360,300.402473151948,29.7547752605177,2455750.44445422,-45235.3553771973,1.2868300000000001,7711.04,-29.8333,1944,45.8194,4750,80.0635
HD190360,300.402473151948,29.7547752605177,2457570.51208699,-45238.3499145508,0.49481,7762.62,-30.166700000000002,10908,47.953,4751,202.106
HD190360,300.402473151948,29.7547752605177,2457618.56246704,-45248.0545043945,0.509095,7777.84,-30.8333,10284,47.875,4722,195.878
HD190360,300.402473151948,29.7547752605177,2456519.42828165,-45203.7239074707,0.363992,7747.4400000000005,-30.0,20201,48.2858,4725,269.192
HD190360,300.402473151948,29.7547752605177,2457503.60767503,-45235.4354858398,0.51615,7766.29,-27.6667,10434,47.8229,4763,195.574
HD190360,300.402473151948,29.7547752605177,2457631.40792928,-45241.8823242188,0.459848,7767.0199999999995,-30.5,12757,48.0817,4716,213.345
HD190360,300.402473151948,29.7547752605177,2455758.50660389,-45222.6409912109,0.41400200000000004,7738.64,-30.166700000000002,15951,48.2144,4746,237.245
HD190360,300.402473151948,29.7547752605177,2456523.46893317,-45199.0203857422,0.357637,7746.0599999999995,-29.1667,20834,48.2887,4720,272.788
HD190360,300.402473151948,29.7547752605177,2455908.23632504,-45224.8992919922,0.5315139999999999,7750.08,-31.8333,9806,47.966,4706,187.428
HD190360,300.402473151948,29.7547752605177,2457569.52782729,-45244.537353515596,1.21954,7722.900000000001,-29.3333,1923,47.1699,4751,82.1257
HD190360,300.402473151948,29.7547752605177,2455751.58488067,-45237.117767334,0.8799469999999999,7727.85,-24.1667,3799,47.228,4750,114.834
HD190360,300.402473151948,29.7547752605177,2455763.37403389,-45263.2865905762,7.5547,7715.8,-56.1667,145,38.3269,4743,16.3087
HD190360,300.402473151948,29.7547752605177,2455798.49293639,-45223.3543395996,0.5475760000000001,7736.349999999999,-31.8333,9149,47.8501,4719,181.054
HD190360,300.402473151948,29.7547752605177,2457572.55611551,-45232.2731018066,0.5350739999999999,7745.02,-30.666700000000002,9639,48.102,4750,185.36
HD190360,300.402473151948,29.7547752605177,2455765.62183426,-45221.549987793,0.486488,7740.87,-25.8333,11544,47.8778,4739,202.889
HD190360,300.402473151948,29.7547752605177,2456175.40862029,-45201.7707824707,0.353014,7737.860000000001,-29.1667,21359,48.4511,4713,273.787
HD190360,300.402473151948,29.7547752605177,2455763.37956639,-45227.611541747996,0.513406,7733.799999999999,-24.6667,10388,47.9241,4743,192.252
HD190360,300.402473151948,29.7547752605177,2457567.45633841,-45245.4299926758,0.532439,7774.66,-32.8333,9635,47.7494,4752,192.678
HD190360,300.402473151948,29.7547752605177,2457568.50714175,-45241.4894104004,0.365608,7756.02,-30.0,19922,48.3486,4752,268.892
HD190360,300.402473151948,29.7547752605177,2455848.2994289,-45213.4666442871,0.404669,7742.59,-27.5,16688,48.1699,4701,242.965
HD190360,300.402473151948,29.7547752605177,2456631.24571944,-45207.275390625,0.256052,7771.03,-28.833299999999998,41134,48.3277,4701,383.039
HD190360,300.402473151948,29.7547752605177,2456626.28032731,-45213.7603759766,0.425456,7773.75,-27.1667,15140,47.9326,4701,234.472
HD190360,300.402473151948,29.7547752605177,2456625.29728451,-45216.8731689453,0.291257,7773.73,-24.833299999999998,31604,48.1928,4701,337.974
HD190360,300.402473151948,29.7547752605177,2457575.54420877,-45234.7526550293,0.51823,7742.16,-26.666700000000002,10277,48.1619,4750,190.259
HD190360,300.402473151948,29.7547752605177,2457621.51193224,-45240.650177002004,0.559168,7768.53,-28.5,8721,47.9067,4719,177.828
HD190360,300.402473151948,29.7547752605177,2455813.42773441,-45212.188720703096,0.418773,7729.99,-34.0,15501,48.2114,4713,233.682
HD190360,300.402473151948,29.7547752605177,2456557.37792282,-45213.3979797363,0.311742,7746.07,-28.5,27567,48.4422,4706,310.838
HD190360,300.402473151948,29.7547752605177,2456613.26810741,-45204.395294189504,0.32369000000000003,7757.349999999999,-28.0,25713,48.3068,4698,301.472
HD190360,300.402473151948,29.7547752605177,2456644.24184892,-45221.1494445801,0.38954700000000003,7774.15,-29.1667,17854,47.8961,4706,255.38
HD190360,300.402473151948,29.7547752605177,2457574.55947914,-45242.7291870117,1.26701,7729.89,-18.5,1853,47.0979,4750,79.2052
HD190360,300.402473151948,29.7547752605177,2455769.47910258,-45230.8235168457,0.41554800000000003,7736.17,-30.5,15556,48.2162,4738,234.22
HD190360,300.402473151948,29.7547752605177,2455762.49348665,-45223.819732666,0.405972,7731.51,-28.833299999999998,16482,48.281,4743,240.583
HD190360,300.402473151948,29.7547752605177,2456630.23802272,-45208.1756591797,0.25732799999999995,7766.39,-30.0,40789,48.3863,4701,378.897
HD190360,300.402473151948,29.7547752605177,2456190.33907695,-45195.7969665527,0.484115,7727.0,-32.6667,11850,48.2391,4706,201.822
HD190360,300.402473151948,29.7547752605177,2455835.41717269,-45226.1009216309,0.393291,7751.44,-33.0,17167,47.9773,4706,252.637
HD190360,300.402473151948,29.7547752605177,2457565.55537338,-45246.2577819824,0.48469799999999996,7750.15,-26.666700000000002,11634,48.1465,4752,204.024
HD190360,300.402473151948,29.7547752605177,2457622.55171612,-45236.9384765625,0.47732800000000003,7774.35,-29.1667,11920,47.9768,4719,209.621
HD190360,300.402473151948,29.7547752605177,2455759.53229661,-45222.0191955566,0.505993,7746.25,-32.6667,10547,47.7609,4744,196.304
HD190360,300.402473151948,29.7547752605177,2457525.56791891,-45237.6518249512,0.524023,7773.889999999999,-27.3333,10123,47.7214,4762,195.377
HD190360,300.402473151948,29.7547752605177,2457566.45219101,-45245.1286315918,0.838985,7734.15,-31.0,4152,47.6575,4752,119.751
HD190360,300.402473151948,29.7547752605177,2456624.29222962,-45221.2181091309,0.429365,7770.889999999999,-30.0,14851,47.8776,4701,232.262
HD190360,300.402473151948,29.7547752605177,2456638.26600468,-45215.934753418,0.295399,7773.63,-30.8333,30748,48.1856,4705,333.512
HD190360,300.402473151948,29.7547752605177,2455756.4998112,-45226.4518737793,0.673971,7722.45,-28.6667,6333,47.6863,4749,146.775
HD190360,300.402473151948,29.7547752605177,2457631.54204584,-45243.3204650879,0.403807,7780.74,-27.3333,15977,48.1038,4716,242.599
HD190360,300.402473151948,29.7547752605177,2455767.62686021,-45232.8948974609,0.789791,7730.84,-27.3333,4682,47.2725,4738,127.48
HD190360,300.402473151948,29.7547752605177,2455796.46748002,-45221.9924926758,0.46871,7734.94,-29.1667,12455,48.1203,4719,209.071
HD190360,300.402473151948,29.7547752605177,2456220.31891222,-45192.0585632324,0.302014,7735.299999999999,-29.3333,28858,48.5182,4699,317.946
HD190360,300.402473151948,29.7547752605177,2455751.58642007,-45231.8000793457,0.889884,7731.4400000000005,-29.3333,3726,47.2005,4750,113.665
HD190360,300.402473151948,29.7547752605177,2457528.57977375,-45239.3836975098,0.46377,7761.599999999999,-29.0,12789,48.0471,4762,215.453
HD190360,300.402473151948,29.7547752605177,2456200.33267356,-45198.9326477051,0.385197,7729.650000000001,-27.5,18214,48.3889,4705,251.095
HD190360,300.402473151948,29.7547752605177,2456583.35509968,-45203.914642334,0.453181,7738.03,-30.166700000000002,13414,48.2097,4699,215.976
